No;Nama;Rating;Review;Link
13;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;2;Tombol T nya mendem ke dalem setiap di klik, kecewa baru beli datang kaya gini.;https://shopee.co.id/ROBOT-Portable-Mini-Wired-Keyboard-RK10-Ultra-Thin-Garansi-Resmi-1-Tahun-i.262387176.13013963834?sp_atk=f69ef8d8-9da3-4d6b-9180-1d462481bdb7&xptdk=f69ef8d8-9da3-4d6b-9180-1d462481bdb19
14;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;2;Banyak huruf yang tidak sesuai, dan eror ketika diklik;https://shopee.co.id/ROBOT-Portable-Mini-Wired-Keyboard-RK10-Ultra-Thin-Garansi-Resmi-1-Tahun-i.262387176.13013963834?sp_atk=f69ef8d8-9da3-4d6b-9180-1d462481bdb7&xptdk=f69ef8d8-9da3-4d6b-9180-1d462481bdb20
15;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;2;Cacat pada tombol;https://shopee.co.id/ROBOT-Portable-Mini-Wired-Keyboard-RK10-Ultra-Thin-Garansi-Resmi-1-Tahun-i.262387176.13013963834?sp_atk=f69ef8d8-9da3-4d6b-9180-1d462481bdb7&xptdk=f69ef8d8-9da3-4d6b-9180-1d462481bdb21
16;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;2;Isi hurufnya double double jadi pada ngaco pas ngetik.;https://shopee.co.id/ROBOT-Portable-Mini-Wired-Keyboard-RK10-Ultra-Thin-Garansi-Resmi-1-Tahun-i.262387176.13013963834?sp_atk=f69ef8d8-9da3-4d6b-9180-1d462481bdb7&xptdk=f69ef8d8-9da3-4d6b-9180-1d462481bdb22
17;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;1;Sangat kecewa Peking barangnya tipis, barangnya rusak tidak berfungsi, sia belanja di toko ini;https://shopee.co.id/ROBOT-Portable-Mini-Wired-Keyboard-RK10-Ultra-Thin-Garansi-Resmi-1-Tahun-i.262387176.13013963834?sp_atk=f69ef8d8-9da3-4d6b-9180-1d462481bdb7&xptdk=f69ef8d8-9da3-4d6b-9180-1d462481bdb23
18;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;1;Produk tidak bisa dikembalikan, padahal ada kendala di keyboard nya tetapi tidak bisa dikembalikan, padahal belinya di Shopee mall. Kecewa beli di toko ini.;https://shopee.co.id/ROBOT-Portable-Mini-Wired-Keyboard-RK10-Ultra-Thin-Garansi-Resmi-1-Tahun-i.262387176.13013963834?sp_atk=f69ef8d8-9da3-4d6b-9180-1d462481bdb7&xptdk=f69ef8d8-9da3-4d6b-9180-1d462481bdb24
19;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;1;Harga murah dengan kualitas yang murahan. Baru 2 minggu dipakai sudah rusak.;https://shopee.co.id/ROBOT-Portable-Mini-Wired-Keyboard-RK10-Ultra-Thin-Garansi-Resmi-1-Tahun-i.262387176.13013963834?sp_atk=f69ef8d8-9da3-4d6b-9180-1d462481bdb7&xptdk=f69ef8d8-9da3-4d6b-9180-1d462481bdb25
20;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;1;Pencet tmbol MJKLIUOP yang keluar malah angka-angka, padahal keyboard baru beli.;https://shopee.co.id/ROBOT-Portable-Mini-Wired-Keyboard-RK10-Ultra-Thin-Garansi-Resmi-1-Tahun-i.262387176.13013963834?sp_atk=f69ef8d8-9da3-4d6b-9180-1d462481bdb7&xptdk=f69ef8d8-9da3-4d6b-9180-1d462481bdb26
21;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;5;pengemasan sangat baik dan rapi. terbungkus bubble wrap yang tebal. kondisi barang juga baik dan sesuai dengan gambar. mouse dan keyboard berfungsi dengan baik.;https://shopee.co.id/Bonkyo-Paket-Gaming-Keyboard-dan-Mouse-RGB-Set-Gaming-Mouse-dan-Keyboard-USB-Cable-RGB-i.159093915.7031061504?sp_atk=e8c37778-7515-4775-b652-b21709687d1e&xptdk=e8c37778-7515-4775-b652-b21709687d1e
22;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;5;Barang sudah nyampe dengan selamat. Packing rapi, setelah dicoba tombol berfungsi semua dan nyala. Mantap banget..;https://shopee.co.id/Bonkyo-Paket-Gaming-Keyboard-dan-Mouse-RGB-Set-Gaming-Mouse-dan-Keyboard-USB-Cable-RGB-i.159093915.7031061504?sp_atk=e8c37778-7515-4775-b652-b21709687d1e&xptdk=e8c37778-7515-4775-b652-b21709687d1e
