No;Nama;Rating;Review;Link
28;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;4;Paket sudah sampai seneng bangettt lampunya bikin nagih ngetik tugas jadi gak bosen uww wkwk. Mouse nya juga ganteng banget ;
29;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;3;Barang sudah sampai,, pengiriman lama menurut saya karena masih satu kota, keyboard berfungsi tapi buat ngetik typo2 n Ngadad/ngelag, mouse bagus.. semoga awet aja;
30;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;3;Kualitas produk baik. Pengiriman cepat. Pengemasan rapi.;
31;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;3;Keyboardnya pecah belakangnya.udh ada bubble nya tp mgkn pas pengiriman ditindih dg barang lain. Di packingnya tdk ada tulisan fragile nya jg. Saran aja buat ke depannya. ;
32;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;3;Yah produk lumayan tapi penangananya kurang ??;
33;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;2;Barang sampai dengan cepat,tapi tidak sesuai dengan gambar,kualitas diluar perkiraan,mestinya harga lebih murah dengan barang seperti ini...;
34;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;2;Ad yang kurang pengalas moise dan keyboard lampunya g menyala...;
35;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;2;Barang sdh sampai dengan cepat dan dikemas dengan rap,i tpi sayang barangnya klu dipencet kurang sensitif kata ank saya pedot2;
36;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;2;Mousnya ok bagus berfungsi, kyboarnya juga berfungsi bagus tapi lampu kyboar nya gk nyala;
37;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;1;Sangat mengecewakan mouse berfungsi Tapi keyboardnya GK bisa digunakan sama sekali;
38;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;1;Keyboard nYa error, kualitas buruk, mau dibalikkin rugi di ongkir, semoga yg Lain mikir beli dtko & merk ini lgi!!!!;
39;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;1;Pengiriman cepat , tpi pesennya warna hitam malah datangnya warna putih , ribet komplennya;
40;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;1;aman barang nya tapi nggak bisa nyala tombol sudah di klik makasih telah di kirim;
41;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;5;Pengiriman, pesanan, dan pedagangnya.Amanah dan baik;https://shopee.co.id/keyboard-gaming-and-mouse-set-mechanical-rgb-led-combo-kable-SHIPADOO-D280-keyboard-mouse-set-gaming-mechanical-rgb-led-mouse-keyboard-gaming-set--i.69532627.1816477629?sp_atk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f23&xptdk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f23
42;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;5;Barang sesuai harga dan datang sesuai deskripsi. Moga awet pemakaian...;
43;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;5;Barang nya bagus;
44;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;5;Keyboardnya oke buat ngias meja. suara ketikannya juga pas, worth it harga udah dapet mouse juga;
45;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;4;Barang Sesuai harga , suka sih cuman sayang kabel nya pendek tpi sampai sini bagus;
46;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;4;Bagus cuman ada sobekan dikit di kotaknya dan kekurangannya yaitu kalau PC udh di shutdow tetap menyala LED pada mouse itu aja sih sama mecanical ya gak kedengaran sedikit saja;
47;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;4;Keren, sebanding dengan harganya, ga berharap lebih juga di harga yang segini;
48;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;4;Oke sejauh ini aman, mayan laah moga awet dipake game ekstrim;
49;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;3;Kecepatan kirimnya lumayan bagus, tapi saat sampai saya buka ada patah sedikit di belakang. Overall bagus sih..;
50;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;3;Buat harga segitu lumayan lah keren kok , tapi ada bagian yang pecah lain kali harus lebih teliti lagi yah kak , selebih nya ok kok;
51;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;3;Akhirnya saya bawa ke tmpt perbaiki LG, trus bagian dalam keyboard banyak yg retak, semoga toko lebih memperhatikan LG barang saat akan di kirim;
52;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;3;"Pengiriman ok, Tetapi ada tombol ""Ctrl"" yang lepas dan di pasang bisa tapi kalau di pencet tidak bisa balik lagi ......";
53;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;2;Barangnya oke. Pas sampai tapi baru 2 hari sudah rusak. Kita tanya gimana tidak di respon;
54;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;2;Mohon Maaf ni pertama kali aku blanja di Shopee penuh rasa kecewa krn beli barang tidak dpt digunakan terutama keyboard ngga bisa berfungsi sama skli cuma lampu ja yg nyala klo ngetik huruf ngga bisa sama sekali. Cuma mau saran sblm dikirim tolong dicek dulu berfungsi pa ngga biar konsumen tdk kecewa.Biar saya saja yg dikecewakan jgn konsumen yg lain;
